Latitude,Longitude,Altitude
20.331238226274692,-148.87248457543953,-20.458768725225312
20.565514673345405,-148.63114943222928,-20.458763850153495
20.809552759947643,-148.40837837255583,-20.45875945439311
21.053591048933598,-148.16704547018085,-20.35875464578846
21.297629082849753,-147.9442743774875,-20.358750286799335
21.541667089482253,-147.7215032668988,-20.358745944314705
21.775943397813435,-147.48016804928784,-20.358741156693554
22.029742915503682,-147.25739685523553,-20.3587368809886
22.27378118658722,-147.03462800514365,-20.25873259066001
22.5080574126836,-146.793292737892,-20.258727855528754
22.752095283471732,-146.57052155041828,-20.258723598744183
22.99613312636422,-146.34775034665643,-20.258719359661434
23.240170942036407,-146.1249791290785,-20.25871513675626
23.484208729822,-145.90220789614426,-20.258710932072454
23.72824674933961,-145.66087478065043,-20.158706320519933
23.972284484868226,-145.43810351384408,-20.15870214985045
24.2163220787546,-145.19676808166042,-20.158697574401444
24.47012131955256,-144.97399672380953,-20.158693476280014
24.71415885414053,-144.73266126118585,-20.158688936011565
24.95819635852255,-144.49132578231067,-20.158684415610566
25.211995906572632,-144.26855663748893,-20.058680372653782
25.46579491570442,-144.02722106252415,-20.058675927911516
25.709832334500227,-143.78588553406033,-20.058671462156553
25.97339271789628,-143.52598571213062,-20.058666676069492
26.217430074837132,-143.2846501518943,-20.058662249599024
26.48099080550309,-143.02475253701996,-19.958657505948054
26.725028104114237,-142.78341694278353,-19.95865311685325
26.988588357993905,-142.52351704884177,-19.95864841564991
27.24238702158283,-142.26361720361643,-19.958643692067902
27.496185651422472,-142.00371734348113,-19.958638990808552
27.759746236597586,-141.74381961693584,-19.858634352117676
28.013544803048752,-141.48391972035006,-19.858629690838896
28.277104756009138,-141.20545558583973,-19.858624684829493
28.54066480613487,-140.94555558302105,-19.858620109840118
28.81398623751913,-140.66709134013934,-19.85861519143861
29.087308085316465,-140.3886292791413,-19.75861029816984
29.350867893437467,-140.11016506828415,-19.758605382999264
29.594904704067147,-139.8502651352561,-19.7586008065551
29.82918007352791,-139.608929413947,-19.758596610693694
30.05369386600207,-139.3675937517543,-19.75859238932356
30.24892284450255,-139.10769414966688,-19.758587639463684
30.41486777414383,-138.86636109138223,-19.65858316988522
30.571050663527203,-138.62502592182258,-19.658578667744244
30.707710729999725,-138.42081919979455,-19.658574890030565
30.834608945847677,-138.17948424922363,-19.65857027146574
30.941984831617724,-137.97527990756296,-19.55856637133897
31.03959853232238,-137.75250932761634,-19.55856203209673
31.12745067759905,-137.52973882117976,-19.558557656282694
31.205541416680063,-137.3255325401129,-19.558553639505107
31.273870456441955,-137.10276218482176,-19.55854918253327
31.332438583592648,-136.89855820061828,-19.45854508498232
31.38124452528315,-136.67578799476934,-19.4585405500911
31.42028891931671,-136.45301786412895,-19.458535974298442
31.439810522682308,-136.26737619502535,-19.458532104450633
31.469093516784852,-136.06317029250363,-19.458527890375983
31.478853279024307,-135.84040039765935,-19.458523193267013
31.488613040150298,-135.61763050221847,-19.45851850309063
31.48861140912536,-135.4134248350827,-19.45851416685842
31.478848091220144,-135.19065509332322,-19.458509396148855
31.45932323613225,-134.96788543118623,-19.45850458509868
31.42027545572843,-134.7636800750435,-19.45850007790291
31.39098921680025,-134.5594746421574,-19.45849562459027
31.342179759854695,-134.33670521209123,-19.458490692332454
31.283608772539758,-134.11393585773263,-19.458485719959683
31.20551501461101,-133.92829496047347,-19.45848143985588
31.12742111711316,-133.72408991056042,-19.458476776668867
31.039565693593204,-133.51988493504953,-19.45847207417178
30.941949036222034,-133.35280833879972,-19.45846810756072
30.834570707898457,-133.16716766450423,-19.45846371295869
30.71743100158824,-133.00009121417114,-19.458459665131365
30.600291160832967,-132.81445060809688,-19.458455238312617
30.47338994235539,-132.64737422824032,-19.458451155783905
30.36601165542411,-132.46173354010364,-19.45844679050444
30.248871989684176,-132.29465707500697,-19.45844276928601
30.141493722991832,-132.10901638281456,-19.458438416354305
30.014592405260167,-131.92337583323956,-19.458433978770024
29.907214300595697,-131.75629928664418,-19.458430024213897
29.790074394862906,-131.55209450407045,-19.458425264026623
29.672934640828487,-131.36645386976923,-19.458420897282906
29.555794897789845,-131.18081323531027,-19.458416535012923
29.428893498987996,-130.97660851429885,-19.458411755467722
29.301991975512898,-130.75383964109167,-19.458406604592206
29.175090603307055,-130.54963491309886,-19.458401843575203
29.0384277178837,-130.3454302541773,-19.458397046535005
28.882241793787465,-130.1412257334402,-19.458392171951992
28.7162943605476,-129.93702127728181,-19.45838726411577
28.550346944186224,-129.73281681374402,-19.458382366300192
28.374637886528383,-129.51004826105378,-19.458377059377234
28.218451456017995,-129.28727753672845,-19.558371852297327
28.05250409552469,-129.08307305523735,-19.558366988527993
27.886556620816222,-128.86030441497275,-19.558361760766417
27.710847511870817,-128.61897168643128,-19.55835612773408
27.544900076070505,-128.3962030311162,-19.5583509256642
27.369191008709336,-128.15487028695526,-19.558345320862607
27.193481963386873,-127.91353753361122,-19.558339728287876
27.017773066228486,-127.69076892445874,-19.558334521825792
26.851825455828973,-127.43087193833354,-19.55832862839641
26.66635495527737,-127.18953922725468,-19.558323038209053
26.500407513829515,-126.94820637704538,-19.55831754474793
26.324698451132207,-126.6883094329622,-19.558311651655266
26.148989411706644,-126.42841248279018,-19.5583057776346
25.973280517750972,-126.18707967502617,-19.55830028535567
25.79757152381874,-125.92718270736088,-19.55829444181522
25.62186243243933,-125.64872158077506,-19.558288245314444
25.426630576768872,-125.40738887448948,-19.558282718913198
25.231398625880118,-125.14749200770285,-19.5582768438085
25.01664340138467,-124.90615745019838,-19.65827127220623
24.801888985895133,-124.66482679381221,-19.558265716645153
24.587133820847292,-124.42349221927407,-19.658260176333833
24.35285604724612,-124.18215970641464,-19.658254579905574
24.118578416174458,-123.95939133183296,-19.658249361200937
23.894062208754676,-123.71805873252377,-19.658243834487656
23.65978440843596,-123.45816202697159,-19.65823793108717
23.415745240416797,-123.2168295181655,-19.658232367171664
23.181467610366134,-122.97549693572995,-19.658226858501685
22.937428394019825,-122.71560024549477,-19.658220977386634
22.703150360837874,-122.45570156436085,-19.758215149229628
22.459111211456857,-122.19580484833912,-19.7582093058965
22.224833494869443,-121.91734391038989,-19.758203161581328
21.980794410701122,-121.65744716435262,-19.758197358637652
21.746516759974575,-121.37898619801943,-19.758191254800053
21.502477638913028,-121.10052527194136,-19.758185139271447
21.268200055079397,-120.8220642772545,-19.75817907698687
21.024161002710542,-120.54360331916169,-19.758173005268617
20.799644889226087,-120.24657809412463,-19.758166666889487
20.565367309270496,-119.94955290476463,-19.75816031964208
20.331089542084076,-119.67108997923756,-19.858154343308605
20.096812034920287,-119.37406476676028,-19.85814803876206
19.86253456318466,-119.07703954220932,-19.85814175807176
19.638018624164893,-118.78001425297357,-19.858135529300135
19.39397972551446,-118.48298904921441,-19.858129263143134
19.15970236020093,-118.18596378009521,-19.858123048227036
18.91566353421562,-117.88893854652669,-19.858116827802952
18.671624745029142,-117.59191329514286,-19.858110631492927
18.427585992941992,-117.29488803094894,-19.858104457304954
18.193308770483622,-116.99786270437761,-19.85809833470708
17.959031498709376,-116.68227321306703,-19.85809189337205
17.734515839526274,-116.38524781659186,-19.858085843416795
17.51000013203219,-116.06965825407843,-19.858079476619437
17.285484271224625,-115.7726310175118,-19.958073470885083
17.051207148660673,-115.45704147690651,-19.95806712340334
16.826691631262563,-115.16001603274849,-19.95806116193105
16.582653094095967,-114.8444265063323,-19.95805483852429
16.348376160223058,-114.54740107354701,-19.958048896298784
16.114099185518757,-114.23181147870285,-19.958042645718777
15.879822323086998,-113.93478601785611,-19.958036749242588
15.645545496083397,-113.63776054493567,-19.958030876622665
15.411268704270771,-113.34073505657153,-19.958025025560346
15.167230392963013,-113.02514544066148,-19.95801884486358
14.932953673659778,-112.72811992603857,-19.958013039533235
14.708438471463147,-112.4310943575106,-19.958007279475005
14.464400273006937,-112.11550469814013,-19.958001169340008
14.23988491800807,-111.8184773530246,-20.05799545592417
14.005608278003596,-111.50288763477552,-20.057989417104473
13.771331674861283,-111.18729790279032,-20.05798340207192
13.54681665154898,-110.89027227474702,-20.05797775420416
13.312540122112885,-110.57468251440343,-20.05797178729226
13.088025106384826,-110.25909270809696,-20.05796586294374
12.863510126276857,-109.94350288891613,-20.05795996294514
12.638995242174929,-109.64647720852739,-20.05795440424695
12.414480332905168,-109.33088736333539,-20.057948550921765
12.189965459903668,-109.01529750543426,-20.057942719656396
11.955689150224629,-108.69970766522263,-20.057936894990007
11.74093582141817,-108.38411775210602,-20.057931128404846
11.516420876030029,-108.06852616191651,-20.157925367891707
11.291906149964706,-107.75293625701849,-20.157919632345198
11.07715298149876,-107.45591046360217,-20.15791424727926
10.842876857463061,-107.14032055974558,-20.157908540631958
10.628123705686882,-106.82473059056008,-20.157902889582864
10.413370588717811,-106.50914060850974,-20.157897260689573
10.17909457408081,-106.19355066696517,-20.15789162432724
9.96434152713698,-105.87796066037959,-20.157886042291473
9.74958851458927,-105.56237064217879,-20.15788048382926
9.52507407298123,-105.24678063583349,-20.157874932280805
9.300559667395234,-104.93119061638751,-20.157869406315932
9.076045340252424,-104.63416473531001,-20.1578642055008
8.861292466540267,-104.31857466876333,-20.1578587381186
8.656301128334473,-104.02154871924533,-20.157853609043812
8.451309861101336,-103.74308690749217,-20.15784880111444
8.25608008186558,-103.4646250661582,-20.157844026741735
8.060850330047849,-103.18616321583244,-20.157839268854417
7.855859185071001,-102.92626552475895,-20.157834817769697
7.650868067284044,-102.66636782274438,-20.157830382184017
7.4458769764498065,-102.40647010935146,-20.157825964555222
7.240885912604476,-102.14657238635256,-20.157821563790513
7.03589490898225,-101.90523880215656,-20.157817476966443
6.8309039304858175,-101.66390520842526,-20.157813405868765
