X,Y,Z
-44.6,-140.63,-23.26
-44.54,-140.83,-23.26
-44.48,-141.02,-23.26
-44.4,-141.21,-23.26
-44.34,-141.39,-23.26
-44.28,-141.6,-23.26
-44.2,-141.78,-23.26
-44.13,-141.97,-23.26
-44.06,-142.15,-23.26
-43.98,-142.36,-23.26
-43.91,-142.54,-23.26
-43.83,-142.73,-23.36
-43.75,-142.91,-23.36
-43.68,-143.12,-23.36
-43.6,-143.3,-23.36
-43.52,-143.49,-23.36
-43.44,-143.67,-23.36
-43.37,-143.84,-23.36
-43.28,-144.05,-23.36
-43.21,-144.23,-23.36
-43.13,-144.42,-23.36
-43.04,-144.6,-23.36
-42.96,-144.79,-23.36
-42.87,-144.96,-23.36
-42.8,-145.16,-23.36
-42.71,-145.33,-23.36
-42.64,-145.51,-23.36
-42.58,-145.72,-23.36
-42.51,-145.9,-23.46
-42.46,-146.09,-23.46
-42.4,-146.29,-23.46
-42.34,-146.48,-23.46
-42.29,-146.68,-23.46
-42.23,-146.87,-23.46
-42.18,-147.05,-23.46
-42.13,-147.26,-23.46
-42.09,-147.46,-23.56
-42.05,-147.65,-23.56
-42.02,-147.85,-23.56
-41.98,-148.04,-23.56
-41.95,-148.24,-23.56
-41.9,-148.45,-23.56
-41.85,-148.65,-23.56
-41.81,-148.84,-23.56
-41.76,-149.04,-23.56
-41.72,-149.22,-23.56
-41.67,-149.45,-23.56
-41.63,-149.63,-23.56
-41.58,-149.84,-23.56
-41.52,-150.02,-23.56
-41.44,-150.21,-23.66
-41.36,-150.39,-23.56
-41.28,-150.58,-23.66
-41.19,-150.75,-23.66
-41.08,-150.91,-23.66
-40.95,-151.06,-23.66
-40.83,-151.23,-23.66
-40.69,-151.38,-23.66
-40.55,-151.51,-23.66
-40.41,-151.64,-23.66
-40.27,-151.77,-23.66
-40.14,-151.92,-23.66
-40.0,-152.07,-23.66
-39.87,-152.2,-23.66
-39.73,-152.34,-23.66
-39.59,-152.46,-23.76
-39.42,-152.55,-23.76
-39.26,-152.64,-23.76
-39.12,-152.79,-23.76
-38.99,-152.94,-23.76
-38.88,-153.09,-23.76
-38.78,-153.25,-23.76
-38.7,-153.42,-23.76
-38.62,-153.61,-23.76
-38.56,-153.77,-23.76
-38.5,-153.96,-23.76
-38.46,-154.16,-23.76
-38.43,-154.35,-23.76
-38.43,-154.53,-23.86
-38.43,-154.74,-23.76
-38.44,-154.94,-23.86
-38.47,-155.15,-23.86
-38.5,-155.33,-23.86
-38.54,-155.52,-23.86
-38.6,-155.72,-23.86
-38.66,-155.91,-23.86
-38.72,-156.09,-23.86
-38.78,-156.28,-23.86
-38.83,-156.48,-23.86
-38.89,-156.67,-23.86
-38.91,-156.87,-23.86
-38.93,-157.06,-23.86
-38.92,-157.26,-23.86
-38.9,-157.45,-23.96
-38.87,-157.65,-23.96
-38.83,-157.84,-23.96
-38.78,-158.02,-23.96
-38.73,-158.21,-23.96
-38.66,-158.4,-23.96
-38.57,-158.58,-23.96
-38.48,-158.75,-23.96
-38.38,-158.92,-23.96
-38.26,-159.06,-23.96
-38.13,-159.21,-23.96
-37.99,-159.36,-23.96
-37.85,-159.49,-23.96
-37.7,-159.6,-23.96
-37.55,-159.71,-23.96
-37.39,-159.81,-23.96
-37.22,-159.9,-23.96
-37.06,-159.97,-23.96
-36.89,-160.07,-23.96
-36.73,-160.18,-23.96
-36.56,-160.27,-23.96
-36.41,-160.38,-23.96
-36.28,-160.53,-23.96
-36.16,-160.68,-23.96
-36.04,-160.83,-23.96
-35.94,-160.99,-23.96
-35.87,-161.16,-23.96
-35.79,-161.33,-23.96
-35.73,-161.51,-23.96
-35.68,-161.7,-23.96
-35.65,-161.89,-23.96
-35.62,-162.07,-23.96
-35.61,-162.26,-24.06
-35.62,-162.46,-24.06
-35.64,-162.67,-24.06
-35.68,-162.83,-24.06
-35.73,-163.04,-24.06
-35.79,-163.22,-24.06
-35.79,-163.43,-24.06
-35.79,-163.61,-24.06
-35.77,-163.8,-24.06
-35.73,-163.98,-24.06
-35.69,-164.19,-24.06
-35.65,-164.37,-24.06
-35.63,-164.58,-24.06
-35.59,-164.78,-24.06
-35.56,-164.97,-24.06
-35.52,-165.17,-24.06
-35.5,-165.38,-24.06
-35.46,-165.56,-24.16
-35.42,-165.77,-24.06
-35.38,-165.95,-24.16
-35.34,-166.16,-24.16
-35.29,-166.36,-24.16
-35.24,-166.55,-24.16
-35.2,-166.75,-24.16
-35.14,-166.94,-24.16
-35.09,-167.14,-24.16
-35.04,-167.33,-24.16
-34.99,-167.53,-24.16
-34.93,-167.71,-24.16
-34.88,-167.92,-24.16
-34.82,-168.1,-24.16
-34.77,-168.31,-24.16
-34.72,-168.49,-24.16
-34.67,-168.7,-24.16
-34.62,-168.9,-24.16
-34.56,-169.09,-24.16
-34.51,-169.29,-24.16
-34.46,-169.5,-24.16
-34.4,-169.68,-24.16
-34.34,-169.89,-24.16
-34.29,-170.07,-24.26
-34.24,-170.28,-24.26
-34.19,-170.48,-24.26
-34.14,-170.69,-24.26
-34.08,-170.87,-24.26
-34.02,-171.08,-24.26
-33.97,-171.28,-24.26
-33.91,-171.46,-24.26
-33.86,-171.67,-24.26
-33.81,-171.87,-24.26
-33.76,-172.08,-24.26
-33.7,-172.28,-24.26
-33.64,-172.49,-24.26
-33.59,-172.69,-24.26
-33.53,-172.88,-24.36
-33.47,-173.08,-24.26
-33.43,-173.28,-24.36
-33.37,-173.49,-24.36
-33.31,-173.69,-24.36
-33.23,-173.88,-24.36
-33.14,-174.08,-24.36
-33.06,-174.27,-24.36
-32.97,-174.45,-24.36
-32.87,-174.64,-24.36
-32.77,-174.82,-24.36
-32.66,-174.99,-24.36
-32.55,-175.18,-24.36
-32.42,-175.33,-24.36
-32.28,-175.49,-24.36
-32.15,-175.64,-24.36
-32.0,-175.79,-24.36
-31.84,-175.92,-24.36
-31.71,-176.05,-24.46
-31.54,-176.16,-24.46
-31.38,-176.29,-24.46
-31.22,-176.38,-24.46
-31.04,-176.5,-24.46
-30.86,-176.59,-24.46
-30.68,-176.68,-24.46
-30.5,-176.76,-24.46
-30.31,-176.83,-24.46
-30.14,-176.9,-24.46
-29.94,-176.94,-24.46
-29.76,-177.0,-24.46
-29.57,-177.03,-24.46
-29.37,-177.07,-24.46
-29.18,-177.09,-24.46
-28.99,-177.09,-24.46
-28.8,-177.09,-24.46
-28.61,-177.09,-24.46
-28.42,-177.07,-24.46
-28.22,-177.03,-24.46
-28.04,-177.02,-24.46
-27.86,-176.96,-24.46
-27.68,-176.92,-24.46
-27.49,-176.87,-24.46
-27.32,-176.81,-24.56
-27.13,-176.76,-24.46
-26.94,-176.7,-24.46
-26.76,-176.64,-24.46
-26.57,-176.61,-24.46
-26.39,-176.53,-24.46
-26.21,-176.48,-24.46
-26.02,-176.42,-24.46
-25.83,-176.4,-24.46
-25.64,-176.38,-24.46
-25.45,-176.37,-24.46
-25.26,-176.35,-24.46
-25.06,-176.33,-24.46
-24.86,-176.31,-24.46
-24.68,-176.29,-24.46
-24.48,-176.27,-24.46
-24.29,-176.25,-24.46
-24.09,-176.25,-24.46
-23.9,-176.25,-24.46
-23.71,-176.24,-24.46
-23.51,-176.24,-24.46
-23.32,-176.24,-24.46
-23.13,-176.24,-24.46
-22.93,-176.25,-24.46
-22.74,-176.24,-24.46
-22.54,-176.24,-24.46
-22.35,-176.24,-24.46
-22.15,-176.22,-24.46
-21.96,-176.22,-24.46
-21.76,-176.2,-24.46
-21.56,-176.18,-24.46
-21.36,-176.18,-24.46
-21.17,-176.16,-24.46
-20.97,-176.16,-24.46
-20.77,-176.14,-24.46
-20.57,-176.14,-24.46
-20.37,-176.14,-24.46
-20.18,-176.14,-24.46
-19.97,-176.14,-24.46
-19.77,-176.14,-24.46
-19.57,-176.16,-24.46
-19.38,-176.14,-24.46
-19.17,-176.16,-24.46
-18.98,-176.16,-24.46
-18.77,-176.18,-24.46
-18.58,-176.2,-24.46
-18.37,-176.2,-24.46
-18.17,-176.22,-24.46
-17.97,-176.24,-24.46
-17.77,-176.27,-24.46
-17.58,-176.31,-24.46
-17.39,-176.35,-24.46
-17.18,-176.4,-24.46
-17.0,-176.44,-24.46
-16.81,-176.51,-24.46
-16.63,-176.59,-24.46
-16.44,-176.68,-24.46
-16.26,-176.77,-24.46
-16.09,-176.87,-24.46
-15.91,-176.98,-24.46
-15.75,-177.09,-24.46
-15.59,-177.22,-24.46
-15.43,-177.35,-24.46
-15.28,-177.48,-24.46
-15.13,-177.61,-24.46
-14.99,-177.76,-24.46
-14.85,-177.91,-24.46
-14.7,-178.06,-24.46
-14.56,-178.2,-24.46
-14.41,-178.33,-24.46
-14.27,-178.48,-24.46
-14.13,-178.63,-24.46
-13.99,-178.78,-24.46
-13.83,-178.93,-24.46
-13.69,-179.06,-24.46
-13.54,-179.19,-24.46
-13.39,-179.34,-24.56
-13.23,-179.47,-24.56
-13.07,-179.58,-24.56
-12.91,-179.71,-24.56
-12.74,-179.82,-24.56
-12.58,-179.95,-24.56
-12.41,-180.06,-24.56
-12.24,-180.17,-24.56
-12.07,-180.26,-24.56
-11.89,-180.38,-24.56
-11.72,-180.47,-24.56
-11.54,-180.56,-24.56
-11.35,-180.65,-24.56
-11.18,-180.75,-24.56
-10.99,-180.84,-24.56
-10.82,-180.91,-24.56
-10.63,-180.99,-24.56
-10.45,-181.08,-24.56
-10.26,-181.16,-24.56
-10.08,-181.21,-24.56
-9.88,-181.29,-24.56
-9.7,-181.34,-24.56
-9.5,-181.4,-24.56
-9.3,-181.45,-24.56
-9.12,-181.49,-24.56
-8.92,-181.55,-24.56
-8.73,-181.58,-24.56
-8.53,-181.62,-24.56
-8.34,-181.64,-24.56
-8.14,-181.66,-24.56
-7.95,-181.69,-24.56
-7.74,-181.69,-24.56
-7.55,-181.71,-24.56
-7.35,-181.75,-24.56
-7.16,-181.77,-24.56
-6.96,-181.77,-24.56
-6.77,-181.79,-24.56
-6.56,-181.81,-24.56
-6.37,-181.82,-24.56
-6.17,-181.82,-24.56
-5.98,-181.84,-24.56
-5.77,-181.84,-24.56
-5.59,-181.84,-24.56
-5.39,-181.84,-24.56
-5.19,-181.82,-24.56
-5.0,-181.82,-24.56
-4.8,-181.81,-24.56
-4.61,-181.77,-24.56
-4.42,-181.75,-24.56
-4.23,-181.71,-24.56
-4.04,-181.69,-24.56
-3.85,-181.66,-24.56
-3.66,-181.64,-24.56
-3.47,-181.6,-24.56
-3.28,-181.58,-24.56
-3.09,-181.53,-24.56
-2.9,-181.49,-24.56
-2.72,-181.45,-24.56
-2.53,-181.4,-24.56
-2.34,-181.36,-24.56
-2.15,-181.3,-24.56
-1.96,-181.25,-24.56
-1.78,-181.19,-24.56
-1.59,-181.12,-24.56
-1.41,-181.06,-24.56
-1.23,-181.01,-24.56
-1.05,-180.93,-24.56
-0.87,-180.86,-24.56
-0.7,-180.78,-24.56
-0.52,-180.71,-24.56
-0.34,-180.62,-24.56
-0.18,-180.54,-24.56
-0.01,-180.45,-24.56
0.15,-180.36,-24.56
0.31,-180.26,-24.56
0.48,-180.15,-24.46
0.62,-180.04,-24.56
0.76,-179.91,-24.46
0.89,-179.78,-24.46
1.01,-179.65,-24.46
1.14,-179.52,-24.46
1.28,-179.39,-24.46
1.42,-179.26,-24.46
1.56,-179.13,-24.46
1.7,-179.0,-24.46
1.83,-178.87,-24.46
1.97,-178.74,-24.46
2.1,-178.61,-24.46
2.22,-178.46,-24.46
2.34,-178.33,-24.46
2.46,-178.19,-24.46
2.57,-178.04,-24.46
2.69,-177.89,-24.46
2.8,-177.74,-24.46
2.9,-177.57,-24.46
3.0,-177.42,-24.46
3.1,-177.28,-24.46
3.19,-177.11,-24.46
3.29,-176.94,-24.46
3.38,-176.77,-24.46
3.46,-176.61,-24.46
3.54,-176.44,-24.46
3.62,-176.27,-24.46
3.7,-176.11,-24.46
3.79,-175.94,-24.46
3.87,-175.77,-24.46
3.95,-175.6,-24.46
4.02,-175.42,-24.46
4.09,-175.25,-24.36
4.16,-175.09,-24.36
4.21,-174.9,-24.36
4.26,-174.71,-24.36
4.32,-174.55,-24.36
4.37,-174.36,-24.36
4.42,-174.18,-24.36
4.47,-173.99,-24.36
4.51,-173.8,-24.36
4.55,-173.62,-24.36
4.58,-173.43,-24.36
4.61,-173.25,-24.36
4.63,-173.06,-24.36
4.65,-172.88,-24.36
4.67,-172.67,-24.36
4.69,-172.49,-24.36
4.7,-172.3,-24.36
4.7,-172.11,-24.36
4.71,-171.93,-24.36
4.71,-171.72,-24.36
4.7,-171.54,-24.36
4.7,-171.35,-24.36
4.68,-171.17,-24.36
4.67,-170.98,-24.36
4.65,-170.78,-24.36
4.63,-170.59,-24.36
4.61,-170.41,-24.36
4.58,-170.22,-24.36
4.54,-170.04,-24.36
4.51,-169.85,-24.36
4.46,-169.66,-24.36
4.42,-169.5,-24.36
4.37,-169.31,-24.36
4.32,-169.13,-24.36
4.28,-168.94,-24.36
4.25,-168.75,-24.36
4.24,-168.57,-24.36
4.23,-168.36,-24.36
4.24,-168.18,-24.36
4.26,-168.01,-24.36
4.29,-167.83,-24.36
4.34,-167.64,-24.36
4.39,-167.47,-24.36
4.46,-167.31,-24.36
4.53,-167.12,-24.36
4.62,-166.95,-24.36
4.71,-166.81,-24.36
4.81,-166.64,-24.36
4.92,-166.51,-24.36
5.04,-166.36,-24.36
5.16,-166.23,-24.36
5.3,-166.1,-24.36
5.44,-165.99,-24.26
5.57,-165.86,-24.26
5.71,-165.73,-24.26
5.84,-165.6,-24.26
5.97,-165.47,-24.26
6.11,-165.36,-24.26
6.25,-165.21,-24.26
6.39,-165.1,-24.26
6.54,-164.99,-24.26
6.68,-164.86,-24.26
6.84,-164.74,-24.26
7.0,-164.65,-24.26
7.15,-164.52,-24.26
7.29,-164.41,-24.26
7.45,-164.3,-24.26
7.59,-164.17,-24.26
7.74,-164.06,-24.26
7.9,-163.95,-24.26
8.04,-163.82,-24.26
8.2,-163.69,-24.26
8.36,-163.56,-24.26
8.54,-163.43,-24.26
8.71,-163.28,-24.26
8.9,-163.13,-24.26
9.09,-162.98,-24.26
9.28,-162.83,-24.26
9.46,-162.68,-24.26
9.65,-162.54,-24.26
9.84,-162.39,-24.26
10.02,-162.22,-24.26
10.2,-162.07,-24.26
10.38,-161.92,-24.26
10.56,-161.76,-24.26
10.75,-161.61,-24.26
10.92,-161.44,-24.26
11.1,-161.29,-24.26
11.27,-161.12,-24.26
11.45,-160.96,-24.26
11.62,-160.79,-24.26
11.8,-160.62,-24.26
11.97,-160.46,-24.26
12.14,-160.29,-24.26
12.31,-160.12,-24.26
12.47,-159.96,-24.26
12.65,-159.77,-24.16
12.81,-159.6,-24.16
12.97,-159.42,-24.16
13.14,-159.25,-24.16
13.31,-159.08,-24.16
13.49,-158.92,-24.16
13.66,-158.75,-24.16
13.84,-158.58,-24.16
14.03,-158.43,-24.16
14.21,-158.27,-24.16
14.39,-158.12,-24.16
14.58,-157.97,-24.16
14.77,-157.8,-24.16
14.95,-157.65,-24.16
15.15,-157.52,-24.16
15.34,-157.37,-24.16
15.54,-157.23,-24.16
15.73,-157.1,-24.16
15.93,-156.95,-24.16
16.12,-156.8,-24.16
16.31,-156.67,-24.16
16.49,-156.52,-24.16
16.67,-156.37,-24.16
16.86,-156.24,-24.16
17.03,-156.09,-24.16
17.21,-155.95,-24.16
17.37,-155.8,-24.16
17.55,-155.65,-24.16
17.72,-155.5,-24.16
17.89,-155.35,-24.16
18.06,-155.2,-24.16
18.22,-155.05,-24.16
18.39,-154.91,-24.16
18.55,-154.76,-24.16
18.72,-154.59,-24.16
18.88,-154.44,-24.16
19.04,-154.29,-24.16
19.2,-154.13,-24.16
19.36,-153.98,-24.16
19.51,-153.81,-24.16
19.67,-153.64,-24.16
19.82,-153.49,-24.16
19.98,-153.33,-24.16
20.13,-153.16,-24.16
20.28,-152.99,-24.16
20.43,-152.85,-24.16
20.58,-152.68,-24.16
20.72,-152.49,-24.16
20.87,-152.33,-24.16
21.01,-152.16,-24.16
21.16,-151.99,-24.16
21.31,-151.82,-24.16
21.44,-151.66,-24.16
21.6,-151.49,-24.16
21.75,-151.32,-24.16
