Latitude,Longitude,Altitude
-29.45250140560705,-117.70306087731831,-29.15815325487948
-29.501309364283046,-117.77731700683219,-29.15815484861305
-29.54035598316448,-117.87013733371549,-29.158156743152936
-29.59892556628205,-117.96295751369888,-29.15815872826831
-29.63797204959255,-118.03721371530744,-29.15816028411451
-29.6672571926432,-118.13003411422802,-29.15816213533182
-29.696542476605963,-118.24141863576432,-29.158164335635284
-29.725827622405074,-118.33423903464191,-29.158166191255603
-29.745351147351197,-118.40849538266485,-29.15816766010809
-29.76487481274414,-118.50131585324606,-29.15816947261152
-29.784399085073012,-118.61270230676006,-29.05817163440399
-29.79416112934865,-118.6869587297195,-29.058173059240396
-29.79416136492887,-118.779777488316,-29.158174786647074
-29.784400722984962,-118.8911623052982,-29.158176815725895
-29.78440128395928,-118.96541879943214,-29.158178198865826
-29.794163609621002,-119.07680346916906,-29.158180322015454
-29.774641342659734,-119.16962423425741,-29.158181962778954
-29.77464204368796,-119.26244485419059,-29.15818369741868
-29.78440469504622,-119.35526726847559,-29.05818547840463
-29.794166881539383,-119.44808781523243,-29.05818726035163
-29.79416758300576,-119.54090843606349,-29.058188998814202
-29.78440619255274,-119.61516313082711,-29.158190344172773
-29.79416884574696,-119.70798555091116,-29.058192130336167
-29.80393056690782,-119.80080422144314,-29.158193916418107
-29.813692754733538,-119.89362476707474,-29.158195705623633
-29.823454943207437,-119.98644531156353,-29.158197495533777
-29.842978617995435,-120.07926578160192,-29.158199332442642
-29.86250229423554,-120.17208625290536,-29.158201170759753
-29.88202657935996,-120.28347273174492,-29.058203360701945
-29.891788443540335,-120.39485551544377,-29.158205506072512
-29.9210736098841,-120.48767591226917,-29.158207395781872
-29.940597430652044,-120.59906050545143,-29.15820959020423
-29.96988274084832,-120.710445026139,-29.158211833701856
-29.97964507617846,-120.8218296941011,-29.158213986393022
-30.00893053049156,-120.9517783363955,-29.158216586163597
-30.038215845125574,-121.06316285640145,-29.15821883555209
-30.057739813790853,-121.19311157307243,-29.15822139274598
-30.087025131602427,-121.3044960924212,-29.15822364691617
